Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Explorers Club,FY 26,FY 25,FY24,FY 23,FY22,Change 25-26,change 24-25
Years 2-6,860,815,795,,,45,20
Years 7+WF,900,845,825,775,750,55,20
NN,,,,,,0,0
Fall M-W,510,480,450,425,375,30,30
Fall Th,685,655,625,595,550,30,30
Winter M-W,410,380,345,325,325,30,35
Winter Th,605,580,550,550,550,25,30
Spring M-W,335,305,300,275,245,30,5
Spring Th,525,500,475,450,400,25,25
Summer camps 2025(projections  for now) ,,,,,,0,0
"1-3rd grade, 5 days 6.5 hours",560,530,500,315,295,30,30
"3-8th grade, 5 days 7 hours",580,555,525,455,445,25,30
"Pre-k 4 hours,4 days",340,310,295,,,30,15
Nature preschool (2024-25,,,,,,0,0
"1 day per week school year, 4 hours",2300,2200,2100,2000,,100,100
,,,,,,,
,,,,,,,
,560,,,,,,
